id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1315594861781770240,1315594331311403008,2020-10-12 13:07:12 EAT,2020-10-12,13:07:12,+0300,1152515439743754240,monbeaujohnny,𝙍𝙤𝙨𝙚,,@totheworld_uwu I’m literally struggling like it’s tmi but this pandemic has cockblocked me for months and I’m ready to explode,en,['totheworld_uwu'],[],[],0,0,0,[],[],https://twitter.com/monbeaujohnny/status/1315594861781770240,,,0,,,,,,,,"{'user_id': '945004632178417665', 'username': 'totheworld_uwu'}",,,,
1315594860875845632,1315594860875845632,2020-10-12 13:07:12 EAT,2020-10-12,13:07:12,+0300,2926680433,asevicente,Stephanie Vicente,,'Yong stressed ka na ngayong pandemic tapos iistressin ka lalo. Haist.,tl,[],[],[],0,0,0,[],[],https://twitter.com/ASEVicente/status/1315594860875845632,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594859252678656,1315361902529261568,2020-10-12 13:07:11 EAT,2020-10-12,13:07:11,+0300,1261989985701502977,weainthavingit1,nothavingit,,@wheatgermdust @heathrowsnowman @mattwookey So deadly the population of the UK has increased over the last year! Wow what a pandemic. Pandemic of brainwashing and insanity!,en,"['wheatgermdust', 'heathrowsnowman', 'mattwookey']",[],[],0,0,0,[],[],https://twitter.com/weainthavingit1/status/1315594859252678656,,,0,,,,,,,,"{'user_id': '943206482', 'username': 'wheatgermdust'}",,,,
1315594858162204672,1315594858162204672,2020-10-12 13:07:11 EAT,2020-10-12,13:07:11,+0300,3342491619,pickupmedialtd,Pickup Media Ltd.,,"How to pivot to #ecommerce? Tips from @CanonUKandIE.

The COVID-19 pandemic has kickstarted the camera company’s digital transformation journey. It continues to focus more sharply on its ecommerce offering.

New, putting you in the picture, on @raconteur.

https://t.co/nCSVJR47h9 https://t.co/c0nqLCZFOk",en,"['canonukandie', 'raconteur']",['https://www.raconteur.net/digital/pivot-ecommerce-canon/'],['https://pbs.twimg.com/media/EkHtA2iWoAAvuEI.jpg'],0,0,0,['ecommerce'],[],https://twitter.com/PickupMediaLtd/status/1315594858162204672,,,1,https://pbs.twimg.com/media/EkHtA2iWoAAvuEI.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594853913374721,1315594853913374721,2020-10-12 13:07:10 EAT,2020-10-12,13:07:10,+0300,4388521425,yets_uri,Katak-Uri 🎈🖼️,,"idk if you want Pandemic P vouching for you, he called Lillard's shot bad...",en,[],[],[],0,0,0,[],[],https://twitter.com/Yets_Uri/status/1315594853913374721,,https://twitter.com/TheNBACentral/status/1315393184244142084,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594851661033472,1315594851661033472,2020-10-12 13:07:09 EAT,2020-10-12,13:07:09,+0300,263114696,gatewaywomen,Jody Day,,Yep. Menopause + burnout + pandemic = an awful lot of 'forwallowing!' x,en,[],[],[],0,0,0,[],[],https://twitter.com/gatewaywomen/status/1315594851661033472,,https://twitter.com/susie_dent/status/1315579633572732929,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594833583636480,1315589556196999168,2020-10-12 13:07:05 EAT,2020-10-12,13:07:05,+0300,303181040,nhswatch,HealthWatch,,@LDNCalling Can always drive a van with increase in jobs vacancies resulting from supermarkets and retailers launching more online and home delivery services due to pandemic and Amazon warehouses are bombing along.,en,['ldncalling'],[],[],0,0,0,[],[],https://twitter.com/NHSWatch/status/1315594833583636480,,,0,,,,,,,,"{'user_id': '19553306', 'username': 'LDNCalling'}",,,,
1315594831654195201,1315594831654195201,2020-10-12 13:07:05 EAT,2020-10-12,13:07:05,+0300,18673064,dickwinchester,Dick Winchester 🏴󠁧󠁢󠁳󠁣󠁴󠁿,,Alexa: please show me the most idiotic suggestion regarding the pandemic so far.,en,[],[],[],0,0,0,[],[],https://twitter.com/DickWinchester/status/1315594831654195201,,https://twitter.com/ScotTories/status/1315589624924975107,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594830538436610,1315594830538436610,2020-10-12 13:07:04 EAT,2020-10-12,13:07:04,+0300,4854011736,pandemicachan,ピンクファーマー🌳🌳,,めっちゃいい人やんこの人……！！,ja,[],[],[],0,0,0,[],[],https://twitter.com/PANDEMICAchan/status/1315594830538436610,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594827359236096,1315594827359236096,2020-10-12 13:07:04 EAT,2020-10-12,13:07:04,+0300,294920289,lenaluthorlover,Sam #blacklivesmatter 💙💚,,"Would you rather go to a club, house party, or a small get together of 4 or 5 friends? — we are in a pandemic?? I’ve barely seen humans besides my immediate family in months. what kind of question even is this??? https://t.co/b3p656Il6z",en,[],['https://curiouscat.qa/LenaLuthorLover/post/1147575569'],[],0,0,0,[],[],https://twitter.com/LenaLuthorLover/status/1315594827359236096,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
